"SAGDP9S Real GDP by state 1/"
"(millions of chained 1997 dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","LineCode","Description","1995","1996","1997"
"00000","United States","1","All industry total",7539096.2,7871720.5,8284431.7
"00000","United States","2","  Private industries",6560624.6,6885822.2,7284991.3
"00000","United States","3","      Agriculture, forestry, and fishing",103793.3,116476.3,126638.5
"00000","United States","4","          Farms",68397.8,79179.7,87948.8
"00000","United States","5","          Agricultural services, forestry, and fishing",35840.8,37450.5,38689.7
"00000","United States","6","      Mining",120754.4,124159.7,129610.1
"00000","United States","7","          Metal mining",6089.8,6447.5,7160.6
"00000","United States","8","          Coal mining",10918.6,11501.4,12020.4
"00000","United States","9","          Oil and gas extraction",94217.2,95114.6,98526.9
"00000","United States","10","          Nonmetallic minerals, except fuels",9835.7,11129.9,11902.2
"00000","United States","11","      Construction",320718.7,340715.2,356538.3
"00000","United States","12","      Manufacturing",1252967.4,1291202.4,1381168.7
"00000","United States","13","          Durable goods manufacturing",690875.2,733232.8,805597.3
"00000","United States","14","              Lumber and wood products",41816.0,40464.3,39996.2
"00000","United States","15","              Furniture and fixtures",21292.0,21564.6,23145.4
"00000","United States","16","              Stone, clay, and glass products",33609.8,33765.3,38436.8
"00000","United States","17","              Primary metal industries",49389.2,50927.3,53256.9
"00000","United States","18","              Fabricated metal products",90838.1,94181.3,99281.9
"00000","United States","19","              Industrial machinery and equipment",119235.3,129926.2,149845.7
"00000","United States","20","              Electronic and other electric equipment 2/",115951.7,138714.7,170995.7
"00000","United States","21","              Motor vehicles and equipment",91965.8,88064.3,92506.6
"00000","United States","22","              Other transportation equipment",52476.8,54971.4,57551.9
"00000","United States","23","              Instruments and related products 2/",55946.4,56942.0,53811.0
"00000","United States","24","              Miscellaneous manufacturing industries",24378.3,25468.4,26769.1
"00000","United States","25","          Nondurable goods manufacturing",564283.7,558536.9,575571.4
"00000","United States","26","              Food and kindred products",136276.0,119915.0,119963.4
"00000","United States","27","              Tobacco products",16920.8,16075.8,15807.1
"00000","United States","28","              Textile mill products",26856.6,26207.7,26109.8
"00000","United States","29","              Apparel and other textile products",28236.0,27382.3,27265.7
"00000","United States","30","              Paper and allied products",48352.3,51261.9,54152.6
"00000","United States","31","              Printing and publishing",91633.7,89787.2,89180.2
"00000","United States","32","              Chemicals and allied products",140055.4,145837.4,156685.1
"00000","United States","33","              Petroleum and coal products",26586.9,30138.8,29535.8
"00000","United States","34","              Rubber and miscellaneous plastics products",45933.9,48029.2,52365.4
"00000","United States","35","              Leather and leather products",5310.1,4394.3,4506.2
"00000","United States","36","      Transportation and public utilities",629364.5,664379.0,672702.8
"00000","United States","37","          Transportation",234261.8,253918.7,266450.1
"00000","United States","38","              Railroad transportation",21950.9,22607.1,21221.2
"00000","United States","39","              Local and interurban passenger transit",14274.2,14688.1,16278.4
"00000","United States","40","              Trucking and warehousing",94931.2,103794.1,109186.1
"00000","United States","41","              Water transportation",11256.0,11783.2,12731.5
"00000","United States","42","              Transportation by air",64818.7,71845.9,77026.9
"00000","United States","43","              Pipelines, except natural gas",5085.3,5518.3,5863.8
"00000","United States","44","              Transportation services",21869.5,23646.7,24142.2
"00000","United States","45","          Communications",197786.3,212189.2,212669.7
"00000","United States","46","          Electric, gas, and sanitary services",197254.5,198180.3,193583.0
