Year,Jurisdiction,All students,Average scale score,10th percentile,25th percentile,50th percentile,75th percentile,90th percentile
2002,National,All students,219,170,196,221,244,263
2002,Alabama,All students,207,154,182,210,235,255
2002,Arizona,All students,205,151,179,209,234,255
2002,Arkansas,All students,213,164,190,216,239,258
2002,California,All students,206,155,180,208,233,253
2002,Colorado,All students,—,—,—,—,—,—
2002,Connecticut,All students,229,184,207,232,253,271
2002,Delaware,All students,224,184,204,225,246,264
2002,District of Columbia,All students,191,144,167,191,215,237
2002,DoDEA,All students,224,185,205,226,245,261
2002,Florida,All students,214,164,192,218,240,259
2002,Georgia,All students,215,166,191,217,241,260
2002,Hawaii,All students,208,158,184,210,234,254
2002,Idaho,All students,220,174,199,224,244,262
2002,Indiana,All students,222,178,200,224,245,263
2002,Iowa,All students,223,181,202,225,246,264
2002,Kansas,All students,222,177,200,224,246,263
2002,Kentucky,All students,219,176,197,221,242,261
2002,Louisiana,All students,207,159,183,208,232,252
2002,Maine,All students,225,183,205,226,247,263
2002,Maryland,All students,217,170,193,219,243,263
2002,Massachusetts,All students,234,193,214,236,256,273
2002,Michigan,All students,219,174,197,221,242,261
2002,Minnesota,All students,225,182,206,228,248,264
2002,Mississippi,All students,203,157,180,204,228,247
2002,Missouri,All students,220,174,197,223,244,262
2002,Montana,All students,224,180,204,228,247,264
2002,Nebraska,All students,222,174,201,225,247,265
2002,Nevada,All students,209,163,186,211,234,252
2002,New Hampshire,All students,—,—,—,—,—,—
2002,New Jersey,All students,—,—,—,—,—,—
2002,New Mexico,All students,208,158,184,210,234,253
2002,New York,All students,222,175,199,225,248,266
2002,North Carolina,All students,222,180,200,222,244,263
2002,North Dakota,All students,224,184,204,226,245,261
2002,Ohio,All students,222,179,201,225,246,262
2002,Oklahoma,All students,213,165,191,217,239,256
2002,Oregon,All students,220,175,198,222,244,261
2002,Pennsylvania,All students,221,170,197,224,247,266
2002,Rhode Island,All students,220,172,196,222,245,264
2002,South Carolina,All students,214,167,191,217,239,258
2002,Tennessee,All students,214,168,191,216,238,256
2002,Texas,All students,217,172,195,218,241,259
2002,Utah,All students,222,178,201,224,244,261
2002,Vermont,All students,227,184,206,229,250,267
2002,Virginia,All students,225,181,203,227,248,265
2002,Washington,All students,224,180,203,226,246,264
2002,West Virginia,All students,219,177,199,220,241,258
2002,Wisconsin,All students,‡,‡,‡,‡,‡,‡
2002,Wyoming,All students,221,179,202,223,243,260
2000,National,All students,213,159,189,218,243,262
2000,Alabama,All students,—,—,—,—,—,—
2000,Arizona,All students,—,—,—,—,—,—
2000,Arkansas,All students,—,—,—,—,—,—
2000,California,All students,—,—,—,—,—,—
2000,Colorado,All students,—,—,—,—,—,—
2000,Connecticut,All students,—,—,—,—,—,—
2000,Delaware,All students,—,—,—,—,—,—
2000,District of Columbia,All students,—,—,—,—,—,—
2000,DoDEA,All students,—,—,—,—,—,—
2000,Florida,All students,—,—,—,—,—,—
2000,Georgia,All students,—,—,—,—,—,—
2000,Hawaii,All students,—,—,—,—,—,—
2000,Idaho,All students,—,—,—,—,—,—
2000,Indiana,All students,—,—,—,—,—,—
2000,Iowa,All students,—,—,—,—,—,—
2000,Kansas,All students,—,—,—,—,—,—
2000,Kentucky,All students,—,—,—,—,—,—
2000,Louisiana,All students,—,—,—,—,—,—
2000,Maine,All students,—,—,—,—,—,—
2000,Maryland,All students,—,—,—,—,—,—
2000,Massachusetts,All students,—,—,—,—,—,—
2000,Michigan,All students,—,—,—,—,—,—
2000,Minnesota,All students,—,—,—,—,—,—
2000,Mississippi,All students,—,—,—,—,—,—
2000,Missouri,All students,—,—,—,—,—,—
2000,Montana,All students,—,—,—,—,—,—
2000,Nebraska,All students,—,—,—,—,—,—
2000,Nevada,All students,—,—,—,—,—,—
2000,New Hampshire,All students,—,—,—,—,—,—
2000,New Jersey,All students,—,—,—,—,—,—
2000,New Mexico,All students,—,—,—,—,—,—
2000,New York,All students,—,—,—,—,—,—
2000,North Carolina,All students,—,—,—,—,—,—
2000,North Dakota,All students,—,—,—,—,—,—
2000,Ohio,All students,—,—,—,—,—,—
2000,Oklahoma,All students,—,—,—,—,—,—
2000,Oregon,All students,—,—,—,—,—,—
2000,Pennsylvania,All students,—,—,—,—,—,—
2000,Rhode Island,All students,—,—,—,—,—,—
2000,South Carolina,All students,—,—,—,—,—,—
2000,Tennessee,All students,—,—,—,—,—,—
2000,Texas,All students,—,—,—,—,—,—
2000,Utah,All students,—,—,—,—,—,—
2000,Vermont,All students,—,—,—,—,—,—
2000,Virginia,All students,—,—,—,—,—,—
2000,Washington,All students,—,—,—,—,—,—
2000,West Virginia,All students,—,—,—,—,—,—
2000,Wisconsin,All students,—,—,—,—,—,—
2000,Wyoming,All students,—,—,—,—,—,—
2000¹,National,All students,217,163,193,221,245,264
2000¹,Alabama,All students,—,—,—,—,—,—
2000¹,Arizona,All students,—,—,—,—,—,—
2000¹,Arkansas,All students,—,—,—,—,—,—
2000¹,California,All students,—,—,—,—,—,—
2000¹,Colorado,All students,—,—,—,—,—,—
2000¹,Connecticut,All students,—,—,—,—,—,—
2000¹,Delaware,All students,—,—,—,—,—,—
2000¹,District of Columbia,All students,—,—,—,—,—,—
2000¹,DoDEA,All students,—,—,—,—,—,—
2000¹,Florida,All students,—,—,—,—,—,—
2000¹,Georgia,All students,—,—,—,—,—,—
2000¹,Hawaii,All students,—,—,—,—,—,—
2000¹,Idaho,All students,—,—,—,—,—,—
2000¹,Indiana,All students,—,—,—,—,—,—
2000¹,Iowa,All students,—,—,—,—,—,—
2000¹,Kansas,All students,—,—,—,—,—,—
2000¹,Kentucky,All students,—,—,—,—,—,—
2000¹,Louisiana,All students,—,—,—,—,—,—
2000¹,Maine,All students,—,—,—,—,—,—
2000¹,Maryland,All students,—,—,—,—,—,—
2000¹,Massachusetts,All students,—,—,—,—,—,—
2000¹,Michigan,All students,—,—,—,—,—,—
2000¹,Minnesota,All students,—,—,—,—,—,—
2000¹,Mississippi,All students,—,—,—,—,—,—
2000¹,Missouri,All students,—,—,—,—,—,—
2000¹,Montana,All students,—,—,—,—,—,—
